restart
# ** Note: (vsim-8009) Loading existing optimized design _opt
# Loading work.FIFO_tb_sv_unit(fast)
# Loading work.FIFO_tb(fast)
# Loading work.FIFO_if(fast)
run -all
# RESET COMPLETED
# --------------------------------------------------------------------
# --------------------------------------------------------------------
# [180000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 199 	 dout = 0 	
# [220000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 199 	 dout = 0 	
# [260000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 199 	 dout = 0 	
# [260000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 1 	 din = 199 	 dout = 0 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [260000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 91 	 dout = 0 	
# [300000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 91 	 dout = 0 	
# [340000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 91 	 dout = 0 	
# [340000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 91 	 dout = 0 	
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [340000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 222 	 dout = 0 	
# [380000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 222 	 dout = 0 	
# [420000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 222 	 dout = 0 	
# [420000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 1 	 din = 222 	 dout = 0 	
# [SCO] INFO: Read attempted while FIFO empty
# ----------------------------------------------------
# --------------------------------------------------------------------
# [420000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 82 	 dout = 0 	
# [460000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 82 	 dout = 0 	
# [500000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 82 	 dout = 0 	
# [500000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 82 	 dout = 0 	
# [SCO] REF WRITE 82 (depth=1)
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 500 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [500000] [GEN] Send Data to Driver
# [GEN] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 209 	 dout = 0 	
# [540000] [DRV] Apply data to DUT
# [DRV] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 209 	 dout = 0 	
# [580000] [MON] SAMPLED DUT
# [MON] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 209 	 dout = 0 	
# [580000] [SCO] Checking
# [SCO] rd = 1 	 wr = 0 	 full = 0 	 empty = 0 	 din = 209 	 dout = 0 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [580000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 85 	 dout = 0 	
# [620000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 1 	 full = 0 	 empty = 0 	 din = 85 	 dout = 0 	
# [660000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 85 	 dout = 82 	
# [660000] [SCO] Checking
# [SCO] rd = 0 	 wr = 1 	 full = 0 	 empty = 1 	 din = 85 	 dout = 82 	
# [SCO] REF WRITE 85 (depth=1)
# [SCO] READ MATCH exp=82 act=82
# ** Error: [SCO] EMPTY FLAG WRONG (qsize=1, empty=1)
#    Time: 660 ns  Scope: FIFO_tb_sv_unit.scoreboard.run File: D:/ghost/Digital/Verification/Udemy - SystemVerilog for Verification Part 2  Projects 2022-9/MINE/FIFO/FIFO_tb.sv Line: 201
# ----------------------------------------------------
# --------------------------------------------------------------------
# [660000] [GEN] Send Data to Driver
# [GEN] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 40 	 dout = 0 	
# [700000] [DRV] Apply data to DUT
# [DRV] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 40 	 dout = 0 	
# [740000] [MON] SAMPLED DUT
# [MON] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 40 	 dout = 82 	
# [740000] [SCO] Checking
# [SCO] rd = 0 	 wr = 0 	 full = 0 	 empty = 0 	 din = 40 	 dout = 82 	
# ----------------------------------------------------
# --------------------------------------------------------------------
# [740000] [GEN] Send Data to Driver
